pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,11,11,40,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.084345,0,12,12,10,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.049405,0,13,13,5,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,14,14,31,1,1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,0.935835,0,15,15,8,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.006605,0,16,16,0,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,17,17,14,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,0.952305,0,18,18,9,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,19,19,12,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,20,20,36,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.35353,0,21,21,17,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,22,22,38,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,23,23,29,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,24,24,18,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.54313,0,25,25,24,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,0.924,0,26,26,2,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,0,0.98652,0,27,27,4,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,28,28,27,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,0.93402,0,29,29,1,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,0,0.97815,0,30,30,7,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,31,31,44,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,32,32,13,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.10825,0,33,33,11,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.5653,0,34,34,26,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,35,35,20,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,36,36,21,1,0.1,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,37,37,25,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,38,38,47,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,39,39,28,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,40,40,15,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,0.94718,0,41,41,3,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,42,42,46,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,43,43,19,1,1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.02103,0,44,44,6,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,45,45,23,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,0,46,46,34,1,0.2,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.5241,0,47,47,43,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,0.90282,1,0,48,6,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,1,49,27,1,0.4,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.035605,1,2,50,4,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.07081,1,3,51,5,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,4,52,31,1,1,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,5,53,12,1,0.6,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.06818,1,6,54,1,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,7,55,39,1,0.3,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,8,56,42,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.378615,1,9,57,45,1,1.3,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.06972,1,10,58,0,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.521725,1,11,59,30,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,12,60,47,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,13,61,16,1,1.2,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,14,62,13,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,0.92543,1,15,63,3,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,16,64,25,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,17,65,28,1,0.7,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,1.07495,1,18,66,11,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,19,67,37,1,0.9,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,20,68,44,1,0.5,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,0.99362,1,21,69,10,1,1.6,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,e,1,1.53776,1,22,70,24,1,1.1,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,0,,1,23,71,41,1,0.8,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,i,1,0.91722,1,24,72,7,1,1.6,,,,,,,,,,
