pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,10,58,15,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,11,59,2,1,1.6,1.399,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,12,60,44,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,13,61,11,1,1.6,1.224,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,14,62,32,1,1.3,1.517,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,15,63,4,1,1.6,1.193,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,16,64,6,1,1.6,1.198,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,17,65,17,1,1.3,1.663,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,18,66,10,1,1.6,1.293,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,19,67,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,20,68,27,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,21,69,30,1,1.2,1.632,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,22,70,13,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,23,71,40,1,1.2,1.644,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,24,72,41,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,25,73,5,1,1.6,1.132,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,26,74,16,1,1.2,1.629,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,27,75,37,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,28,76,1,1,1.6,1.097,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,29,77,23,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,30,78,25,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,31,79,36,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,32,80,3,1,1.6,1.096,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,33,81,33,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,34,82,21,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,35,83,18,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,36,84,12,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,1,37,85,29,1,0.8,,,,,,,,,,,
