cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,practice_accuracy.started,practice_accuracy.stopped,response_time.started,response_time.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.84084499999881,43.94566750002559,43.93255100003444,43.93255100003444,43.93255100003444,44.34353160002502,44.34353160002502,None,i,1,0.5156953000114299,44.329094500048086,None,44.85935680003604,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44754580000881,46.660531600005925,46.645303900004365,46.760607700038236,46.760607700038236,47.15845940000145,47.15845940000145,None,i,1,0.48255020001670346,47.143777500023134,None,47.641491000016686,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2.0,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.21898639999563,49.727553500037175,49.71281240001554,49.8274284999934,49.8274284999934,50.225512300035916,50.225512300035916,None,e,1,0.4317260999814607,50.21078200003831,None,50.65846980002243,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.24095530004706,52.04468779999297,52.0312257000478,52.14540570002282,52.14540570002282,52.542996200034395,52.542996200034395,None,e,1,0.7363324000034481,52.52875240001595,None,53.27588100003777,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86935160000576,54.87880619999487,54.84915439999895,54.96266080002533,54.96266080002533,55.35997380001936,55.35997380001936,None,i,1,0.39891310001257807,55.34556480002357,None,55.75918550003553,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7000000000000002,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34102019999409,57.54566730000079,57.53235280001536,57.64611240004888,57.64611240004888,58.04339390003588,58.04339390003588,None,e,1,0.39791200001491234,58.028876700031105,None,58.442206700041424,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8000000000000003,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.003637699992396,60.31216740002856,60.28249040001538,60.396195900044404,60.396195900044404,60.793394900043495,60.793394900043495,None,i,1,0.400960800005123,60.793394900043495,None,61.20929950004211,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1.0,0.1,1.5,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.79403230000753,62.795413200045004,62.78234810003778,62.8961012000218,62.8961012000218,63.29330150003079,63.29330150003079,None,i,1,0.44878780003637075,63.278848899994045,None,63.742460200039204,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3277320000343,65.02883090003161,65.01573300000746,65.12925880000694,65.12925880000694,65.52647350000916,65.52647350000916,None,i,1,0.5986762999673374,65.5124869000283,None,66.125889500021,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,19,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77639220003039,68.07885370001895,68.06552020000527,68.17928899999242,68.17928899999242,68.57645819999743,68.57645819999743,None,e,1,0.7154334000078961,68.56224830000428,None,69.2925522000296,None,,,,,,,,,,001,2020_Jul_01_1558,ANT,2020.1.3,60.05158431222081,
