pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
i,1,0,10,10,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.83597,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.725495,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.774155,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,13,13,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.653235,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,14,14,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.529345,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.601755,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,16,16,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.96683,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,17,17,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.80777,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,18,18,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.741655,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,19,19,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.52374,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,20,20,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.649905,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,21,21,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.52364,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,22,22,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,1.030215,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,23,23,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,eye,2020-07-21_18h39.20.239,ANT,2020.1.3,Win32,60,0.602385,,,,,,,,,,,,,,,,,,,,,,,
