cue_file,flanker,pos,correct,fix1,cue_time,stimStart,postFix,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fixation_1.started,fixation_1.stopped,warning.started,warning.stopped,fixation_2.started,fixation_2.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,postfix.started,postfix.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,,0,20,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.976259399962146,63.58892959996592,63.57601939997403,63.689652999979444,63.689652999979444,64.08694509998895,64.08694509998895,None,i,1,0.5986883000005037,64.07267369999317,None,64.68616949999705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.19671419996303,65.60581969999475,65.57606280001346,65.68964629998663,65.68964629998663,66.08687409997219,66.08687409997219,None,i,1,0.7321536999661475,66.07264540001052,None,66.81937689997721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2.0,,0,22,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.34023359999992,68.85558819997823,68.84217819996411,68.95592400000896,68.95592400000896,69.35353590000886,69.35353590000886,None,e,1,0.4985199000220746,69.33934349997435,None,69.85287399997469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0.0,0.5,,0,23,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.35712950001471,70.47225669998443,70.45924900000682,70.45924900000682,70.45924900000682,70.87019950000104,70.87019950000104,None,i,1,0.5143302000360563,70.85601639997913,None,71.38596350001171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7861794999917,None,space,0.7843806000309996,71.7861794999917,None,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.58639399998356,None,space,0.5198751999996603,72.58639399998356,None,,,,,,,,,,,,,,,,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1.0,1.2,,,,,0,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28504270000849,73.77565999998478,73.7581410999992,73.95869699999457,73.95869699999457,74.37031520000892,74.37031520000892,None,e,1,1.5021222999785095,73.28504270000849,None,74.88558229996124,None,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0.5,,,,,0,0,0,0,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.17097300000023,77.37216029997217,77.35956989997067,77.47259159997338,77.47259159997338,77.86984060000395,77.86984060000395,None,None,0,,76.17097300000023,77.86984060000395,79.57261219999054,None,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,0.5999999999999999,,,,,0,0,0,0,0,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.15309310000157,81.25567210000008,81.24238680000417,81.35578759998316,81.35578759998316,81.75323530001333,81.75323530001333,None,None,0,,80.15309310000157,81.85325280000689,83.45566139998846,None,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0.0,0.5,1.5999999999999999,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.12115379999159,84.22225099999923,84.20867969997926,84.20867969997926,84.20867969997926,84.61984240001766,84.61984240001766,None,i,1,1.1166441999957897,84.12115379999159,None,85.25558379996801,None,,2020_Jul_09_0730,ANT,2020.1.3,59.97148955320342,
