pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,10,10,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,i,1,0,11,11,9,1,1.6,1.308935,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,12,12,45,1,1.3,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,13,13,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,14,14,44,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,15,15,22,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,i,1,0,16,16,5,1,1.6,1.41091,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,e,1,0,17,17,6,1,1.6,1.466355,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,18,18,46,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,19,19,36,1,0.3,,,,,,,,,,,
