pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,2,50,2,1,1.6,1.304,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,3,51,18,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,4,52,29,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,5,53,35,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,6,54,33,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,7,55,36,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,8,56,44,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,9,57,30,1,1.2,1.668,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,10,58,41,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,11,59,10,1,1.6,1.089,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,12,60,17,1,1.3,1.626,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,13,61,9,1,1.6,1.393,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,14,62,11,1,1.6,1.376,,,,,,,,,,
